local_bsz,num_nodes,num_replicas,step_time,sync_time
4,2,2,0.12639955728553284,0.007377936314938299
6,2,2,0.13390298530013753,0.0073404467839375265
8,2,2,0.14140868980726512,0.0073052337454596605
11,2,2,0.1526709760893679,0.007256143709154256
12,2,2,0.15642596196001102,0.00724067080699467
4,2,6,0.13484645451916108,0.015824833548566536
6,2,6,0.1423096843691923,0.015747145852992306
8,2,6,0.1497774734010315,0.01567401733922605
11,2,6,0.16098666027902295,0.015571827898809315
12,2,6,0.16472485377721094,0.015539562624194592
4,2,10,0.14363659545649557,0.024614974485901026
6,2,10,0.15106071377047997,0.02449817525427997
8,2,10,0.1584914631603217,0.02438800709851624
11,2,10,0.16964854638479138,0.024233714004577744
12,2,10,0.17337020876068543,0.024184917607669082
4,2,14,0.15264031202982592,0.033618691059231376
6,2,14,0.1600269015624803,0.03346436304628031
8,2,14,0.16742197922640545,0.03331852316459999
11,2,14,0.17852867776450088,0.033113845384287244
12,2,14,0.18223430629017423,0.03304901513715788
4,3,3,0.12846612933020787,0.00944450835961333
6,3,3,0.13595946738448564,0.009396928868285637
8,3,3,0.1434556699662446,0.009352213904439133
11,3,3,0.15470467220758052,0.009289839827366891
12,3,3,0.1584554624066493,0.009270171253632942
4,3,7,0.13701881562964122,0.017997194659046672
6,3,7,0.14447213503656753,0.017909596520367527
8,3,7,0.15193055221227744,0.017827096150471983
11,3,7,0.16312657681186113,0.017711744431647497
12,3,7,0.16686059917664398,0.01767530802362763
4,3,11,0.14587058211620807,0.026848961145613526
6,3,11,0.1532851619772347,0.02672262346103471
8,3,11,0.1607068567959103,0.026603400734104832
11,3,11,0.1718511695323143,0.02643633715210067
12,3,11,0.17556877235638552,0.02638348120336917
4,3,15,0.15491660458089795,0.03589498361030341
6,3,15,0.16229407601776447,0.035731537501564464
8,3,15,0.16968046817119634,0.035577012109390876
11,3,15,0.18077486943160898,0.03536003705139534
12,3,15,0.18447657768890838,0.03529128653589203
4,3,19,0.16410305051741403,0.045081429546819485
6,3,19,0.17144511012558344,0.04488257160938344
8,3,19,0.17879770409486528,0.044694248033059825
11,3,19,0.18984414689113027,0.04442931451091664
12,3,19,0.19353054135048253,0.044345250197466185
4,3,23,0.17339720604028644,0.054375585069691895
6,3,23,0.18070551208566582,0.05414297356946582
8,3,23,0.1880257958725948,0.05392233981078934
11,3,23,0.19902623969404898,0.053611407313835346
12,3,23,0.20269790985575695,0.0535126187027406
4,4,4,0.13056643146098323,0.01154481049038869
6,4,4,0.13804968805802467,0.01148714954182467
8,4,4,0.14553638654422227,0.011432930482416809
11,4,4,0.15677208612744542,0.011357253747231788
12,4,4,0.16051867118264426,0.011333380029627915
4,4,8,0.1392092209782849,0.02018760000769035
6,4,8,0.1466527136832974,0.020090175167097407
8,4,8,0.15410182900315564,0.01999837294135018
11,4,8,0.16528477538008987,0.01986994299987624
12,4,8,0.16901464993295023,0.019829358779933887
4,4,12,0.14811649943177854,0.029094878461184
6,4,12,0.15552164395364126,0.028959105437441263
8,4,12,0.16293437404519298,0.028830917983387522
11,4,12,0.17406603038801058,0.028651198007796946
12,4,12,0.17777960696927175,0.028594315816255406
4,4,16,0.1572015795061832,0.03817995853558864
6,4,16,0.16457003933491593,0.03800750081871593
8,4,16,0.1719478404500222,0.037844384388216745
11,4,16,0.18303006713757417,0.03761523475736053
12,4,16,0.18672789163188563,0.03754260047886929
4,4,20,0.16641748439614262,0.04739586342554808
6,4,20,0.17375095283063174,0.04718841431443174
8,4,20,0.18109533159018396,0.046991875528378496
11,4,20,0.19213009246199095,0.046715260081777316
12,4,20,0.1958127508228795,0.04662745966986315
4,4,24,0.1757348524629101,0.05671323149231555
6,4,24,0.18303497034691762,0.05647243183071762
8,4,24,0.1903474026940201,0.05624394663221463
11,4,24,0.20133664700052595,0.055921814620312316
12,4,24,0.20500472700814565,0.0558194358551293
4,4,28,0.1851337288479841,0.06611210787738955
6,4,28,0.19240205191954315,0.06583951340334315
8,4,28,0.19968394899993377,0.06558049293812832
11,4,28,0.21062955900981895,0.06521472662960531
12,4,28,0.21428363273204137,0.06509834157902503
4,4,32,0.19459977326613168,0.07557815229553713
6,4,32,0.20183776090416408,0.07527522238796408
8,4,32,0.2090904555745535,0.07498699951274804
11,4,32,0.2199942235652122,0.07457939118499857
12,4,32,0.22363483919110286,0.07444954803808651
4,5,5,0.1326946059774334,0.013672985006838861
6,5,5,0.14016781968832856,0.013605281172128558
8,5,5,0.14764504046369345,0.01354158440188799
11,5,5,0.15886745899091514,0.013452626610701512
12,5,5,0.16260984218952423,0.013424551036507887
4,5,9,0.14141568936049234,0.022394068389897798
6,5,9,0.14884944657084398,0.022286908054643978
8,5,9,0.15628933746831047,0.022185881406505015
11,5,9,0.1674593006397198,0.022044468259506178
12,5,9,0.17118505428676264,0.021999763133746297
4,5,13,0.15037336105405494,0.031351740083460394
6,5,13,0.15776917511444874,0.031206636598248738
