local_bsz,num_nodes,num_replicas,step_time,sync_time
4,2,2,0.4073064237704395,0.017064454421384434
6,2,2,0.4185688319949087,0.016879557138896217
8,2,2,0.4298381607357449,0.016701580372775027
4,2,6,0.46125241507120546,0.07101044572215037
6,2,6,0.47199320054247984,0.07030392568646737
8,2,6,0.48275784143787026,0.06962126107490041
4,2,10,0.5283160017453249,0.1380740323962698
6,2,10,0.5385135165430036,0.13682424168699114
8,2,10,0.5487488015680482,0.13561222120507832
4,2,14,0.6027375131297715,0.21249554378071644
6,2,14,0.6124327168859947,0.2107434420299822
8,2,14,0.6221755499663213,0.20903896960335144
4,3,3,0.41896573529961634,0.028723765950561253
6,3,3,0.43010774082665554,0.02841846597064307
8,3,3,0.441260908101123,0.028124327738153154
4,3,7,0.4771038653874871,0.08686189603843203
6,3,7,0.4877069219547305,0.08601764709871801
8,3,7,0.49833770397501653,0.08520112361204668
4,3,11,0.5463647283431508,0.15612275899409567
6,3,11,0.556431893832461,0.1547426189764486
8,3,11,0.5665396511579553,0.1534030707949855
4,3,15,0.6221494998149552,0.23190753046590007
6,3,15,0.6317274699876423,0.23003819513162982
8,3,15,0.6413549913882628,0.22821841102529294
4,3,19,0.7021949817750429,0.31195301242598783
6,3,19,0.7113377713133283,0.30964849645731585
8,3,19,0.7205360968707124,0.30739951650774255
4,3,23,0.7852053808208234,0.3949634114717683
6,3,23,0.7939634450800228,0.39227417022401034
8,3,23,0.8027809453619353,0.3896443649989655
4,4,4,0.43201603550883444,0.041774066159779355
6,4,4,0.4430285505194723,0.04133927566345985
8,4,4,0.4540565618749042,0.04091998151193432
4,4,8,0.4936204908710627,0.1033785215220076
6,4,8,0.5040865127546579,0.10239723789864541
8,4,8,0.5145838752168087,0.10144729485383885
4,4,12,0.564811579461656,0.17456961011260097
6,4,12,0.5747514603809633,0.17306218552495078
8,4,12,0.5847345069443547,0.17159792658138484
4,4,16,0.6418234615115157,0.2515814921624606
6,4,16,0.6512876185716001,0.24959834371558764
8,4,16,0.6608030635221269,0.24766648315915707
4,4,20,0.7227072851982947,0.33246531584923966
6,4,20,0.7317493944364615,0.330060119580449
8,4,20,0.7408481804461993,0.3277116000832294
4,4,24,0.8063196634866036,0.41607769413754847
6,4,24,0.8149886992592545,0.4132994244032421
8,4,24,0.823717902275964,0.4105813219129941
4,4,28,0.891937821170698,0.5016958518216429
6,4,28,0.900276252288886,0.4985869774328735
8,4,28,0.9086770436416841,0.49554046327871426
4,4,32,0.9790798360091018,0.5888378666600467
6,4,32,0.9871238473994994,0.585434572543487
8,4,32,0.9952315253784357,0.5820949450154659
4,5,5,0.4461758005591488,0.05593383121009371
6,5,5,0.45705369076063046,0.05536441590461799
8,5,5,0.4679513411464586,0.054814760783488736
4,5,9,0.5107149288427579,0.12047295949370285
6,5,9,0.5210455490709717,0.1193562742149592
8,5,9,0.531410858205245,0.11827427784227518
4,5,13,0.5836145117129877,0.19337254236393264
6,5,13,0.5934303683741671,0.1917410935181546
8,5,13,0.603291731232535,0.19015515086956514
4,5,17,0.6617357886435266,0.2714938192944715
6,5,17,0.6710895197557453,0.2694002448997328
8,5,17,0.6804961055626749,0.2673595251997051
4,5,21,0.7433881812253209,0.3531462118762658
6,5,21,0.7523326776607578,0.3506434028047454
8,5,21,0.7613348741736146,0.3481982938106447
4,5,25,0.8275581805494406,0.43731621120038555
6,5,25,0.8361408402717965,0.434451565415784
8,5,25,0.844784318295495,0.4316477379325252
4,5,29,0.9135955508665291,0.523353581517474
6,5,29,0.9218572140904654,0.5201679392344529
8,5,29,0.9301816345315809,0.517045054168611
4,5,33,1.0010618288996032,0.6108198595505481
6,5,33,1.0090372272488848,0.6073479523928723
8,5,33,1.017076515001485,0.6039399346385153
4,5,37,1.0896495563926851,0.69940758704363
6,5,37,1.0973681632383347,0.6956788883823223
8,5,37,1.1051512365776524,0.6920146562146825
4,6,6,0.46125241507120546,0.07101044572215037
6,6,6,0.47199320054247984,0.07030392568646737
8,6,6,0.48275784143787026,0.06962126107490041
4,6,10,0.5283160017453249,0.1380740323962698
6,6,10,0.5385135165430036,0.13682424168699114
8,6,10,0.5487488015680482,0.13561222120507832
4,6,14,0.6027375131297715,0.21249554378071644
6,6,14,0.6124327168859947,0.2107434420299822
8,6,14,0.6221755499663213,0.20903896960335144
4,6,18,0.6818657347333332,0.29162376538427814
6,6,18,0.6911123687274239,0.2894230938714114
8,6,18,0.7004132689211798,0.28727668855821
4,6,22,0.7642247437344131,0.373982774385358
6,6,22,0.7730745932382377,0.3713853183822252
8,6,22,0.781983059328238,0.3688464789652681
4,6,26,0.848912415106658,0.45867044575760296
6,6,26,0.857411248495716,0.45572197363970357
8,6,26,0.8659714783879722,0.4528348980250023
4,6,30,0.9353419681021317,0.5450999987530766
6,6,30,0.9435290297987406,0.5418397549427282
8,6,30,0.951779195854769,0.5386426154917991
4,6,34,1.0231135089879422,0.6328715396388871
6,6,34,1.0310221320890165,0.629332857233004
8,6,34,1.0389948331009036,0.6258582527379337
4,6,38,1.1119442141835139,0.7217022448344588
6,6,38,1.119602695963678,0.7179134211076655
8,6,38,1.1273257231372478,0.7141891427742779
4,6,42,1.2016278726602618,0.8113859033112067
6,6,42,1.2090603208574717,0.8073710460014593
8,6,42,1.2165574311218552,0.8034208507588854
4,6,46,1.2920102409430132,0.9017682715939581
6,6,46,1.2992373051124377,0.8975480302564253
8,6,46,1.306528903925507,0.8933923235625372
4,7,7,0.4771038653874871,0.08686189603843203
6,7,7,0.4877069219547305,0.08601764709871801
8,7,7,0.49833770397501653,0.08520112361204668
4,7,11,0.5463647283431508,0.15612275899409567
6,7,11,0.556431893832461,0.1547426189764486
8,7,11,0.5665396511579553,0.1534030707949855
4,7,15,0.6221494998149552,0.23190753046590007
6,7,15,0.6317274699876423,0.23003819513162982
8,7,15,0.6413549913882628,0.22821841102529294
4,7,19,0.7021949817750429,0.31195301242598783
6,7,19,0.7113377713133283,0.30964849645731585
8,7,19,0.7205360968707124,0.30739951650774255
4,7,23,0.7852053808208234,0.3949634114717683
6,7,23,0.7939634450800228,0.39227417022401034
8,7,23,0.8027809453619353,0.3896443649989655
4,7,27,0.8703746388391577,0.4801326694901026
6,7,27,0.8787920952154401,0.47710282035942764
8,7,27,0.8872714600698908,0.4741348797069209
4,7,31,0.9571717053867603,0.5669297360377052
6,7,31,0.9652862444430496,0.5635969695870371
8,7,31,0.9734641896316159,0.560327609268646
4,7,35,1.0452310222838355,0.6549890529347804
6,7,35,1.0530746345405906,0.6513853596845781
8,7,35,1.0609824819348932,0.6478459015719233
4,7,39,1.134291933285815,0.7440499639367599
6,7,39,1.1418917931599921,0.7402025183039797
8,7,39,1.1495562556335286,0.7364196752705587
4,7,43,1.2241630938710035,0.8339211245219484
6,7,43,1.2315423810232051,0.8298531061671927
8,7,43,1.238986317913575,0.8258497375506051
4,7,47,1.3147005531071987,0.9244585837581436
6,7,47,1.3218791518011095,0.920189876945097
8,7,47,1.3291222243828562,0.9159856440198864
4,7,51,1.4057937192198913,1.0155517498708362
6,7,51,1.4127887932352015,1.011099518379189
8,7,51,1.4198480101472288,1.006711429784259
4,7,55,1.4973560724789596,1.1071141031299045
6,7,55,1.5041825311114059,1.1024932562553933
8,7,55,1.5110726943168757,1.097936113953906
4,8,8,0.4936204908710627,0.1033785215220076
6,8,8,0.5040865127546579,0.10239723789864541
8,8,8,0.5145838752168087,0.10144729485383885
4,8,12,0.564811579461656,0.17456961011260097
6,8,12,0.5747514603809633,0.17306218552495078
8,8,12,0.5847345069443547,0.17159792658138484
4,8,16,0.6418234615115157,0.2515814921624606
6,8,16,0.6512876185716001,0.24959834371558764
8,8,16,0.6608030635221269,0.24766648315915707
4,8,20,0.7227072851982947,0.33246531584923966
6,8,20,0.7317493944364615,0.330060119580449
8,8,20,0.7408481804461993,0.3277116000832294
4,8,24,0.8063196634866036,0.41607769413754847
6,8,24,0.8149886992592545,0.4132994244032421
8,8,24,0.823717902275964,0.4105813219129941
4,8,28,0.891937821170698,0.5016958518216429
6,8,28,0.900276252288886,0.4985869774328735
8,8,28,0.9086770436416841,0.49554046327871426
4,8,32,0.9790798360091018,0.5888378666600467
