name,time,application,num_replicas,batch_size
yolov3-0,0.0,yolov3,4,64
cifar10-1,96.0,cifar10,16,4096
bert-2,405.0,bert,8,384
cifar10-3,696.0,cifar10,6,2048
cifar10-4,1296.0,cifar10,8,2048
ncf-5,1355.0,ncf,1,32768
cifar10-6,1381.0,cifar10,16,4096
ncf-7,1400.0,ncf,1,32768
cifar10-8,1459.0,cifar10,8,2048
ncf-9,1486.0,ncf,1,32768
cifar10-10,1502.0,cifar10,16,4096
ncf-11,1896.0,ncf,1,32768
imagenet-12,2496.0,imagenet,32,6400
ncf-13,2496.0,ncf,1,32768
imagenet-14,2590.0,imagenet,32,6400
cifar10-15,3096.0,cifar10,12,4096
imagenet-16,3514.0,imagenet,32,6400
imagenet-17,3582.0,imagenet,48,6400
ncf-18,3696.0,ncf,1,32768
deepspeech2-19,3696.0,deepspeech2,8,320
deepspeech2-20,3696.0,deepspeech2,12,640
bert-21,3730.0,bert,8,384
imagenet-22,3764.0,imagenet,24,3200
deepspeech2-23,3883.0,deepspeech2,8,320
cifar10-24,4296.0,cifar10,16,4096
deepspeech2-25,4684.0,deepspeech2,6,320
ncf-26,4896.0,ncf,1,32768
ncf-27,5496.0,ncf,1,32768
ncf-28,5812.0,ncf,1,32768
cifar10-29,6096.0,cifar10,6,2048
yolov3-30,6487.0,yolov3,4,64
ncf-31,6560.0,ncf,1,32768
cifar10-32,6696.0,cifar10,16,4096
ncf-33,7297.0,ncf,1,32768
ncf-34,7896.0,ncf,1,32768
ncf-35,8496.0,ncf,1,32768
ncf-36,9096.0,ncf,1,32768
ncf-37,9331.0,ncf,1,32768
cifar10-38,9336.0,cifar10,12,4096
ncf-39,9696.0,ncf,1,32768
ncf-40,10296.0,ncf,1,32768
ncf-41,10896.0,ncf,1,32768
cifar10-42,11402.0,cifar10,8,2048
cifar10-43,11406.0,cifar10,16,4096
cifar10-44,11411.0,cifar10,8,2048
ncf-45,11414.0,ncf,1,32768
ncf-46,11418.0,ncf,1,32768
ncf-47,11419.0,ncf,1,32768
ncf-48,11422.0,ncf,1,32768
cifar10-49,11424.0,cifar10,6,2048
ncf-50,11426.0,ncf,1,32768
cifar10-51,11429.0,cifar10,16,4096
ncf-52,11429.0,ncf,1,32768
cifar10-53,11433.0,cifar10,6,2048
cifar10-54,11433.0,cifar10,16,4096
cifar10-55,11436.0,cifar10,16,4096
ncf-56,11437.0,ncf,1,32768
cifar10-57,11440.0,cifar10,8,2048
ncf-58,11441.0,ncf,1,32768
cifar10-59,11444.0,cifar10,8,2048
cifar10-60,11445.0,cifar10,12,4096
cifar10-61,11449.0,cifar10,12,4096
cifar10-62,11449.0,cifar10,6,2048
cifar10-63,11455.0,cifar10,8,2048
cifar10-64,11455.0,cifar10,6,2048
cifar10-65,11460.0,cifar10,12,4096
cifar10-66,11460.0,cifar10,12,4096
cifar10-67,11463.0,cifar10,12,4096
cifar10-68,11464.0,cifar10,8,2048
ncf-69,11469.0,ncf,1,32768
ncf-70,11469.0,ncf,1,32768
ncf-71,11477.0,ncf,1,32768
ncf-72,11477.0,ncf,1,32768
ncf-73,11482.0,ncf,1,32768
ncf-74,11482.0,ncf,1,32768
cifar10-75,11485.0,cifar10,6,2048
ncf-76,11485.0,ncf,1,32768
cifar10-77,11489.0,cifar10,16,4096
ncf-78,11489.0,ncf,1,32768
cifar10-79,11492.0,cifar10,12,4096
ncf-80,11493.0,ncf,1,32768
ncf-81,11496.0,ncf,1,32768
cifar10-82,11496.0,cifar10,8,2048
cifar10-83,11496.0,cifar10,6,2048
cifar10-84,11499.0,cifar10,6,2048
cifar10-85,11500.0,cifar10,8,2048
ncf-86,11503.0,ncf,1,32768
ncf-87,11505.0,ncf,1,32768
cifar10-88,11509.0,cifar10,16,4096
ncf-89,11510.0,ncf,1,32768
cifar10-90,11513.0,cifar10,16,4096
cifar10-91,11513.0,cifar10,8,2048
ncf-92,11517.0,ncf,1,32768
ncf-93,11517.0,ncf,1,32768
cifar10-94,11521.0,cifar10,12,4096
ncf-95,11522.0,ncf,1,32768
ncf-96,11525.0,ncf,1,32768
ncf-97,11527.0,ncf,1,32768
ncf-98,11528.0,ncf,1,32768
ncf-99,11530.0,ncf,1,32768
cifar10-100,11532.0,cifar10,6,2048
ncf-101,11534.0,ncf,1,32768
ncf-102,11538.0,ncf,1,32768
ncf-103,11544.0,ncf,1,32768
ncf-104,11549.0,ncf,1,32768
ncf-105,11555.0,ncf,1,32768
cifar10-106,11559.0,cifar10,12,4096
cifar10-107,13086.0,cifar10,6,2048
cifar10-108,13090.0,cifar10,12,4096
ncf-109,13160.0,ncf,1,32768
ncf-110,13203.0,ncf,1,32768
cifar10-111,13206.0,cifar10,8,2048
cifar10-112,13231.0,cifar10,12,4096
ncf-113,13239.0,ncf,1,32768
ncf-114,13253.0,ncf,1,32768
cifar10-115,13275.0,cifar10,12,4096
cifar10-116,13297.0,cifar10,6,2048
ncf-117,13300.0,ncf,1,32768
cifar10-118,13334.0,cifar10,6,2048
ncf-119,13343.0,ncf,1,32768
ncf-120,13345.0,ncf,1,32768
cifar10-121,13345.0,cifar10,16,4096
cifar10-122,13356.0,cifar10,6,2048
cifar10-123,13423.0,cifar10,8,2048
ncf-124,13459.0,ncf,1,32768
cifar10-125,13460.0,cifar10,8,2048
ncf-126,13472.0,ncf,1,32768
cifar10-127,13488.0,cifar10,8,2048
cifar10-128,13513.0,cifar10,16,4096
ncf-129,13520.0,ncf,1,32768
ncf-130,13550.0,ncf,1,32768
cifar10-131,13565.0,cifar10,8,2048
ncf-132,13585.0,ncf,1,32768
cifar10-133,13586.0,cifar10,6,2048
cifar10-134,13604.0,cifar10,16,4096
bert-135,13619.0,bert,8,384
cifar10-136,13630.0,cifar10,16,4096
cifar10-137,13647.0,cifar10,12,4096
ncf-138,13661.0,ncf,1,32768
cifar10-139,13691.0,cifar10,8,2048
cifar10-140,13696.0,cifar10,12,4096
cifar10-141,13703.0,cifar10,12,4096
ncf-142,13704.0,ncf,1,32768
cifar10-143,13734.0,cifar10,8,2048
cifar10-144,13786.0,cifar10,16,4096
ncf-145,13786.0,ncf,1,32768
ncf-146,13804.0,ncf,1,32768
cifar10-147,13813.0,cifar10,8,2048
cifar10-148,13819.0,cifar10,16,4096
cifar10-149,13859.0,cifar10,12,4096
ncf-150,13865.0,ncf,1,32768
ncf-151,13866.0,ncf,1,32768
cifar10-152,13896.0,cifar10,16,4096
cifar10-153,13896.0,cifar10,16,4096
ncf-154,13901.0,ncf,1,32768
cifar10-155,13903.0,cifar10,12,4096
cifar10-156,13915.0,cifar10,8,2048
ncf-157,13944.0,ncf,1,32768
cifar10-158,13967.0,cifar10,16,4096
cifar10-159,13972.0,cifar10,12,4096
cifar10-160,14008.0,cifar10,16,4096
ncf-161,14010.0,ncf,1,32768
cifar10-162,14028.0,cifar10,6,2048
ncf-163,14059.0,ncf,1,32768
cifar10-164,14062.0,cifar10,16,4096
